"Taxonomy","Habitat","PercRunsInd","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; JALZMG01","soil",100,0.552208475162611,0.0027724402034415,0.483874608841598,0.620294587961409,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; UBA2093","freshwater water",100,0.832162196611763,0.00209805057051336,0.783672225740023,0.882352598681328,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; UBA3006","freshwater water",100,0.806126208320114,0.00221588981484601,0.744627829121182,0.863213337481516,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; UBA8592; UBA8592","marine water",100,0.594240710830266,0.00286827576709467,0.512509522664161,0.652352688042214,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; VFJN01; VFJN01","soil",100,0.564231507857721,0.00310325564431461,0.473686170425899,0.643005672687465,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; VFJN01; ZC4RG19","soil",100,0.563030047798278,0.00356880992886618,0.46671756701063,0.634140295195157,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Actinomarinales; Actinomarinaceae; Actinomarina","marine water",100,0.882039582708926,0.00150403676967886,0.847395807585784,0.919110422840459,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; IMCC26256; BP-133; BP-133","soil",100,0.520041103810581,0.00312509781755313,0.42,0.591897183360992,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; IMCC26256; DASPTH01; DASUAS01","soil",100,0.593726302968302,0.0027090395150676,0.525028182123034,0.658821645821375,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; IMCC26256; PALSA-610; JBBQER01","soil",100,0.500543393880588,0.00355093761446052,0.388308343720636,0.607634420731334,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; IMCC26256; PALSA-610; PALSA-610","soil",100,0.524556598228709,0.00328121316149417,0.435041378035208,0.603917038568779,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Spongiisociales; SHLN01; SHLN01","marine sediment",100,0.548137949577677,0.00204000260490317,0.49464937813607,0.586354420849127,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
